INFO:2024-01-26 17:55:29,315: Epoch [1/1], Step [140/6250], Loss: 0.46482, Disc Loss: 0.00000, Dur Loss: 1.01728, CE Loss: 0.05994, Norm Loss: 2.25333, F0 Loss: 6.89407, LM Loss: 1.85200, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:55:42,419: Epoch [1/1], Step [150/6250], Loss: 0.43490, Disc Loss: 0.00000, Dur Loss: 0.86194, CE Loss: 0.06106, Norm Loss: 2.21805, F0 Loss: 5.12824, LM Loss: 1.59096, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:55:55,526: Epoch [1/1], Step [160/6250], Loss: 0.43107, Disc Loss: 0.00000, Dur Loss: 0.91751, CE Loss: 0.06070, Norm Loss: 2.34473, F0 Loss: 7.88315, LM Loss: 1.64879, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:56:09,464: Epoch [1/1], Step [170/6250], Loss: 0.42600, Disc Loss: 0.00000, Dur Loss: 0.85085, CE Loss: 0.05642, Norm Loss: 2.22682, F0 Loss: 7.16394, LM Loss: 1.56936, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:56:22,999: Epoch [1/1], Step [180/6250], Loss: 0.42976, Disc Loss: 0.00000, Dur Loss: 0.96952, CE Loss: 0.06359, Norm Loss: 2.13185, F0 Loss: 7.25660, LM Loss: 1.75037, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:56:36,111: Epoch [1/1], Step [190/6250], Loss: 0.39998, Disc Loss: 0.00000, Dur Loss: 0.78744, CE Loss: 0.05316, Norm Loss: 1.98134, F0 Loss: 5.46848, LM Loss: 1.49130, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:56:49,174: Epoch [1/1], Step [200/6250], Loss: 0.40161, Disc Loss: 0.00000, Dur Loss: 0.85043, CE Loss: 0.05699, Norm Loss: 1.80069, F0 Loss: 6.80969, LM Loss: 1.46437, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:57:02,988: Epoch [1/1], Step [210/6250], Loss: 0.40468, Disc Loss: 0.00000, Dur Loss: 0.87244, CE Loss: 0.06006, Norm Loss: 2.15564, F0 Loss: 6.98446, LM Loss: 1.56345, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:57:16,522: Epoch [1/1], Step [220/6250], Loss: 0.39612, Disc Loss: 0.00000, Dur Loss: 0.90275, CE Loss: 0.05744, Norm Loss: 1.55970, F0 Loss: 6.20610, LM Loss: 1.41723, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:57:30,687: Epoch [1/1], Step [230/6250], Loss: 0.42047, Disc Loss: 0.00000, Dur Loss: 0.83572, CE Loss: 0.05532, Norm Loss: 1.65032, F0 Loss: 4.24121, LM Loss: 1.48908, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:57:43,243: Epoch [1/1], Step [240/6250], Loss: 0.40574, Disc Loss: 0.00000, Dur Loss: 0.71665, CE Loss: 0.04997, Norm Loss: 1.88773, F0 Loss: 4.94639, LM Loss: 1.44000, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:57:56,881: Epoch [1/1], Step [250/6250], Loss: 0.38196, Disc Loss: 0.00000, Dur Loss: 0.81218, CE Loss: 0.04852, Norm Loss: 1.94215, F0 Loss: 5.26571, LM Loss: 1.40981, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:58:09,878: Epoch [1/1], Step [260/6250], Loss: 0.39976, Disc Loss: 0.00000, Dur Loss: 0.91730, CE Loss: 0.06057, Norm Loss: 1.48810, F0 Loss: 5.36286, LM Loss: 1.45070, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:58:23,360: Epoch [1/1], Step [270/6250], Loss: 0.39158, Disc Loss: 0.00000, Dur Loss: 0.90261, CE Loss: 0.06629, Norm Loss: 1.69180, F0 Loss: 5.90991, LM Loss: 1.43232, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:58:36,104: Epoch [1/1], Step [280/6250], Loss: 0.38967, Disc Loss: 0.00000, Dur Loss: 0.83925, CE Loss: 0.05671, Norm Loss: 1.79304, F0 Loss: 5.03251, LM Loss: 1.51506, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:58:49,202: Epoch [1/1], Step [290/6250], Loss: 0.37246, Disc Loss: 0.00000, Dur Loss: 0.75251, CE Loss: 0.04742, Norm Loss: 1.76396, F0 Loss: 4.99161, LM Loss: 1.40256, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:59:02,823: Epoch [1/1], Step [300/6250], Loss: 0.37430, Disc Loss: 0.00000, Dur Loss: 0.87411, CE Loss: 0.05696, Norm Loss: 1.61759, F0 Loss: 5.67114, LM Loss: 1.37961, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:59:16,082: Epoch [1/1], Step [310/6250], Loss: 0.38315, Disc Loss: 0.00000, Dur Loss: 0.88281, CE Loss: 0.05605, Norm Loss: 1.92284, F0 Loss: 5.95138, LM Loss: 1.56016, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:59:29,003: Epoch [1/1], Step [320/6250], Loss: 0.37098, Disc Loss: 0.00000, Dur Loss: 0.69972, CE Loss: 0.04686, Norm Loss: 2.02419, F0 Loss: 5.34578, LM Loss: 1.51327, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:59:42,887: Epoch [1/1], Step [330/6250], Loss: 0.37163, Disc Loss: 0.00000, Dur Loss: 0.89284, CE Loss: 0.05817, Norm Loss: 1.82902, F0 Loss: 6.14648, LM Loss: 1.52254, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 17:59:55,900: Epoch [1/1], Step [340/6250], Loss: 0.38160, Disc Loss: 0.00000, Dur Loss: 0.75716, CE Loss: 0.04923, Norm Loss: 1.59001, F0 Loss: 5.79406, LM Loss: 1.40221, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:00:09,682: Epoch [1/1], Step [350/6250], Loss: 0.38661, Disc Loss: 0.00000, Dur Loss: 0.98276, CE Loss: 0.06070, Norm Loss: 1.47016, F0 Loss: 5.96190, LM Loss: 1.44348, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
INFO:2024-01-26 18:00:22,724: Epoch [1/1], Step [360/6250], Loss: 0.38230, Disc Loss: 0.00000, Dur Loss: 0.70523, CE Loss: 0.04235, Norm Loss: 1.75951, F0 Loss: 6.04895, LM Loss: 1.39569, Gen Loss: 0.00000, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000
